ID,Best Practice,Category,Description,Bad example,Good example,Source
10,"Ensure data exchanged between containers are encrypted on
different nodes on the overlay network",Security,"By default, data exchanged between containers on different nodes on the overlay network
is not encrypted. This could potentially expose traffic between the container nodes",🔗,🔗,CIS Docker Benchmark
11,"Ensure that Docker's default bridge ""docker0"" is not used",Security,"Docker connects virtual interfaces created in bridge mode to a common bridge called docker0. This default networking model is vulnerable to ARP spoofing and MAC flooding attacks because no filtering is applied. Using user-defined networks, you can configure networks more securely and manage them according to organizational security policies.",🔗,🔗,CIS Docker Benchmark
12,Label Selectors,Performance,"Using label selectors, containers can be prioritized based on service characteristics or user community, such as service type (management vs. customer) or data type (HR vs. Sales). Labels help ensure proper execution locations, reducing data spillage and resource sharing.",🔗,🔗,Container_Image_Creation_and_Deployment_Guide
13,Container image executed as non-root user,Security,"Docker allows to share a directory between the Docker host and a guest container  without limiting the access rights of the container. This means that a user can start a  container and map the / directory on the host to the container. The container would  then be able to modify the host file system without any restrictions. This means that  a user could gain elevated privileges simply by being a member of the docker group and  subsequently start a container which maps the root / directory on the host. 
NOTE: If you specify the non-root user in the docker-compose.yaml file, you can override the user defined in the Dockerfile for specific contexts or environments. This approach provides more flexibility, allowing you to change the user at runtime without modifying the container image.",🔗,🔗,Container_Image_Creation_and_Deployment_Guide
14,Use Linux Security Module,Security,"First of all, do not disable default security profile! Consider using security profile like seccomp or AppArmor",🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
15,Ensure a USER directive is specified,Security,"1. Least Privilege Principle: Running applications as a non-root user ensures they have only the necessary permissions, minimizing potential damage if compromised.
2. Containment of Vulnerabilities: Non-root users have restricted permissions, reducing the risk of attackers exploiting system-level vulnerabilities.
3. Accidental Damage Prevention: Non-root users are less likely to cause serious harm to the host system or other containers due to restricted permissions.
4. Compliance and Best Practices: Aligns with security guidelines and regulatory standards, which often recommend or require running services as non-root users.
5. Separation of Duties: Clearly defines which parts of the Dockerfile require elevated privileges, promoting better security practices within the container.",🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
16,Ensure that container health is checked at runtime,Security,"The HEALTHCHECK statement in a Dockerfile or the --health-cmd option at container execution time allows you to monitor the health of the container. Based on the reported health status, you can take corrective actions if necessary. This ensures that containers are running properly and can be automatically repaired or restarted if problems occur.",🔗,🔗,CIS Docker Benchmark
17,Ensure the base image version is pinned,Security,Pinning the base image version allows you to control when updates are applied. This helps in managing security updates in a controlled manner rather than inadvertently incorporating changes that might introduce vulnerabilities or other issues.,🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
18,Ensure the OS packages versions are pinned,Security,"By pinning versions, you control when to update packages. This allows you to test updates in a controlled environment before deploying them, reducing the risk of inadvertently introducing vulnerabilities or other issues.",🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
19,Ensure mount propagation mode is not set to shared,Security,"Mount propagation mode allows mounting volumes in shared, slave or private mode on a container. Do not use shared mount propagation mode unless explicitly needed. 
A shared mount is replicated at all mounts and changes made at any mount point are propagated to all other mount points. Mounting a volume in shared mode does not restrict any other container from mounting and making changes to that volume. As this is likely not a desirable option from a security standpoint, this feature should not be used unless explicitly required. ",🔗,🔗,CIS Docker Benchmark
20,Trusted registry,Security,"Store the documented, signed images with their SBOMs in a secure registry that enforces strict access controls and supports metadata management.",🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
21,Keep the Docker daemon logging level at info,Security,"By default, the Docker daemon is configured to have a base logging level of info. This can be verified by checking the daemon configuration file /etc/docker/daemon.json for thelog-level key. If the key is not present, the default logging level is info. Additionally, if the docker daemon is started with the --log-level option, the value of the log-level key in the configuration file will be overridden. Setting an appropriate log level, configures the Docker daemon to log events that you would want to review later. A base log level of 'info' and above would capture all logs except the debug logs. Until and unless required, you should not run docker daemon at the 'debug' log level.",🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
22,Image provenance,Security,Document the origin and history of container images to ensure traceability and integrity,🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
23,"Ensure that host devices are not directly exposed to 
containers ",Security,"Avoiding direct exposure of host devices to containers is important to prevent unauthorized access and manipulation of host system devices. Using the --device option indiscriminately can allow containers to access and manipulate sensitive host devices without having to run the container in privileged mode, increasing the risk of compromise.",🔗,🔗,CIS Docker Benchmark
24,"Ensure that incoming container traffic is bound to a specific 
host interface ",Security,"Se un host ha più interfacce di rete, un container potrebbe potenzialmente accettare connessioni su qualsiasi interfaccia se i porti esposti sono legati all'indirizzo IP 0.0.0.0. Questo può rappresentare un rischio per la sicurezza, in quanto non si ha controllo su quale interfaccia venga utilizzata per accedere ai servizi. Assicurandosi che i porti siano legati a una specifica interfaccia, si può gestire meglio il flusso di traffico e applicare misure di sicurezza come firewall e IDS/IPS.",🔗,🔗,CIS Docker Benchmark
25,"Ensure sensitive host system directories are not mounted on 
containers ",Security,"If sensitive directories are mounted in read-write mode, it could be possible to make  changes to files within them. This has obvious security implications and should be avoided. In particular, sensitive directories are the following: 
/ 
/boot 
/dev 
/etc 
/lib 
/proc 
/sys 
/usr ",🔗,🔗,CIS Docker Benchmark
26," Enable only ports used for the service being
implemented",Security,"To minimize the attack surface, each container image should be a microservice, implementing only one service where possible. Many services require enabled ports for communication. Exposing ports unnecessary for service implementation allows the container to expand the attack surface by giving external malicious users information regarding applications and their versions that are enabled within the container, and possible vulnerabilities that might be used to attack the container.",🔗,🔗,"CIS Docker Benchmark
DevSecOps_Enterprise_Container_Image_Creation_and_Deployment_Guide"
27,Ensure that the memory usage for containers is limited ,Security,By default a container can use all of the memory on the host. You can use memory limit  mechanisms to prevent a denial of service occurring where one container consumes all of the host’s resources and other containers on the same host are therefore not able to function. Having no limit on memory usage can lead to issues where one container can easily make the whole system unstable and as a result unusable. ,🔗,🔗,"https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
CIS Docker Benchmark
https://docs.docker.com/config/containers/resource_constraints/#limit-a-containers-access-to-memory"
28,Ensure that CPU priority is set appropriately on containers,Security,"Without proper CPU priority management, a container may monopolize CPU resources, making low-priority containers less responsive or even unresponsive. Configuring --cpu-shares helps to fairly distribute CPU resources based on business needs and priorities.",🔗,🔗,"https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
CIS Docker Benchmark
https://docs.docker.com/config/containers/resource_constraints/#limit-a-containers-access-to-memory"
29,Limit resources ( Maximum number of file descriptors),Security,"File descriptors are system resources that represent open files or other kernel-managed input/output, such as network connections. Without a limit, a container can open an unlimited number of files or connections, potentially causing a Denial of Service (DoS) if all available resources are used. Setting a limit prevents a single container from consuming all of the system's file descriptor resources, protecting both the container and the host from failure or attack.",🔗,🔗,"https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
CIS Docker Benchmark
https://docs.docker.com/config/containers/resource_constraints/#limit-a-containers-access-to-memory"
